mode,map_name,trial_count,success_rate,mean_duration_sec,median_duration_sec,mean_distance_travelled_m,mean_speed,mean_min_lidar,mean_p05_lidar,mean_steering_variance,mean_steering_rate_std
current,Budapest,1,0.0,150.04015064239502,150.04015064239502,258.94737174392503,1.8170033759442037,0.21423588693141937,0.523073136806488,0.008056366263176814,0.0957818066735556
current,Catalunya,1,0.0,150.0511302947998,150.0511302947998,247.5292615956423,1.7343116795546945,0.2788844406604767,0.5321906417608261,0.008679186988255226,0.095427096530304
current,Melbourne,1,0.0,150.0389392375946,150.0389392375946,289.6843061508407,2.02577996656143,0.3282620906829834,0.5480004638433457,0.007196711735554819,0.0900226723989453
current,Sakhir,1,0.0,150.04001379013062,150.04001379013062,267.9726273368724,1.8743737510448555,0.2641603350639343,0.47082566022872924,0.007773693011637428,0.08884606571454981
current,YasMarina,1,0.0,79.64071846008301,79.64071846008301,108.41781531675224,1.4520817196341216,0.1435863971710205,0.36961911618709564,0.007933995025035159,0.08853368070915921
legacy,Budapest,1,0.0,37.9382221698761,37.9382221698761,58.66553207105608,1.612356095877046,0.1493941694498062,0.41182532012462625,0.002302502052893925,0.013976213754890224
legacy,Catalunya,1,0.0,32.84125542640686,32.84125542640686,52.38689075331786,1.6744450917694627,0.14638002216815948,0.31215084940195087,0.0023560189967739387,0.015987635330372382
legacy,Melbourne,1,0.0,27.139838218688965,27.139838218688965,55.27141389352619,2.0766545578122577,0.2283637821674347,0.6153513193130493,0.0011338187499629077,0.010544184762682951
legacy,Sakhir,1,0.0,79.54104042053223,79.54104042053223,160.9826317205734,2.0499555066696504,0.08572331815958023,0.45286046266555785,0.0027368763758472054,0.011273790117713251
legacy,YasMarina,1,0.0,56.84359884262085,56.84359884262085,100.61633489027736,1.807035034391242,0.13633540272712708,0.4165402725338936,0.0029739399901486645,0.012190478951352024
