csv_path,mode,map_name,trial_id,model_path,success,collided,termination_reason,duration_sec,distance_travelled_m,mean_speed,median_speed,max_speed,min_lidar,p05_lidar,mean_lidar,steering_variance,steering_rate_std
results/runtime_raw/current/Budapest/trial_01.csv,current,Budapest,current_01,diffusion_f110/models/diffusion_policy.pt,0,0,timeout,150.04015064239502,258.94737174392503,1.8170033759442037,1.5678573615140254,3.1994488175958398,0.21423588693141937,0.523073136806488,0.854724212517341,0.008056366263176814,0.0957818066735556
results/runtime_raw/current/Catalunya/trial_01.csv,current,Catalunya,current_01,diffusion_f110/models/diffusion_policy.pt,0,0,timeout,150.0511302947998,247.5292615956423,1.7343116795546945,1.55315518316487,3.199218301475048,0.2788844406604767,0.5321906417608261,0.8438756891489029,0.008679186988255226,0.095427096530304
results/runtime_raw/current/Melbourne/trial_01.csv,current,Melbourne,current_01,diffusion_f110/models/diffusion_policy.pt,0,0,timeout,150.0389392375946,289.6843061508407,2.02577996656143,2.0877654588902947,3.1989567279815674,0.3282620906829834,0.5480004638433457,0.8236496507525444,0.007196711735554819,0.0900226723989453
results/runtime_raw/current/Sakhir/trial_01.csv,current,Sakhir,current_01,diffusion_f110/models/diffusion_policy.pt,0,0,timeout,150.04001379013062,267.9726273368724,1.8743737510448555,1.7220247336354575,3.1972504442557694,0.2641603350639343,0.47082566022872924,0.8286608633995056,0.007773693011637428,0.08884606571454981
results/runtime_raw/current/YasMarina/trial_01.csv,current,YasMarina,current_01,diffusion_f110/models/diffusion_policy.pt,0,1,collision,79.64071846008301,108.41781531675224,1.4520817196341216,1.0896214939581812,3.19848044551909,0.1435863971710205,0.36961911618709564,0.6208155899865544,0.007933995025035159,0.08853368070915921
results/runtime_raw/legacy/Budapest/trial_01.csv,legacy,Budapest,legacy_01,old stuff/diffusion_policy.pt,0,1,collision,37.9382221698761,58.66553207105608,1.612356095877046,1.245109498500824,3.0,0.1493941694498062,0.41182532012462625,0.8858893626912603,0.002302502052893925,0.013976213754890224
results/runtime_raw/legacy/Catalunya/trial_01.csv,legacy,Catalunya,legacy_01,old stuff/diffusion_policy.pt,0,1,collision,32.84125542640686,52.38689075331786,1.6744450917694627,1.299410954117775,3.0,0.14638002216815948,0.31215084940195087,0.8219271631139081,0.0023560189967739387,0.015987635330372382
results/runtime_raw/legacy/Melbourne/trial_01.csv,legacy,Melbourne,legacy_01,old stuff/diffusion_policy.pt,0,1,collision,27.139838218688965,55.27141389352619,2.0766545578122577,2.11882621049881,3.0,0.2283637821674347,0.6153513193130493,0.8498712640626844,0.0011338187499629077,0.010544184762682951
results/runtime_raw/legacy/Sakhir/trial_01.csv,legacy,Sakhir,legacy_01,old stuff/diffusion_policy.pt,0,1,collision,79.54104042053223,160.9826317205734,2.0499555066696504,1.9049620628356934,3.0,0.08572331815958023,0.45286046266555785,0.8110169778173825,0.0027368763758472054,0.011273790117713251
results/runtime_raw/legacy/YasMarina/trial_01.csv,legacy,YasMarina,legacy_01,old stuff/diffusion_policy.pt,0,1,collision,56.84359884262085,100.61633489027736,1.807035034391242,1.4523872584104538,3.0,0.13633540272712708,0.4165402725338936,0.724380611953601,0.0029739399901486645,0.012190478951352024
